Name,Sex,Age,Height,Weight,Team,Year,City,Sport,Event,Medal
Sandra Aguilar Navarro,F,19.0,167.0,50.0,Spain,2012,London,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,
Julen Aguinagalde Akizu,M,29.0,196.0,113.0,Spain,2012,London,Handball,Handball Men's Handball,
Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,2012,London,Diving,Diving Men's Platform,
Jeinkler Ernesto Aguirre Manso,M,22.0,165.0,57.0,Cuba,2012,London,Diving,Diving Men's Synchronized Platform,
Marcelo Vctor Aguirre,M,19.0,174.0,66.0,Paraguay,2012,London,Table Tennis,Table Tennis Men's Singles,
Matas Aguirregaray Guruceaga,M,23.0,183.0,78.0,Uruguay,2012,London,Football,Football Men's Football,
Mikel Aguirrezabalaga Garca,M,28.0,196.0,92.0,Spain,2012,London,Handball,Handball Men's Handball,
Feta Ahamada,F,25.0,160.0,50.0,Comoros,2012,London,Athletics,Athletics Women's 100 metres,
Johanna Maria Helne Ahlm,F,24.0,175.0,69.0,Sweden,2012,London,Handball,Handball Women's Handball,
Christian Ahlmann,M,37.0,189.0,80.0,Germany,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Individual",
Christian Ahlmann,M,37.0,189.0,80.0,Germany,2012,London,Equestrianism,"Equestrianism Mixed Jumping, Team",
Mohamed Ahmad Ali Gharib Juma,M,23.0,178.0,73.0,United Arab Emirates,2012,London,Football,Football Men's Football,
Tontowi Ahmad,M,25.0,179.0,72.0,Indonesia,2012,London,Badminton,Badminton Mixed Doubles,
Waseem Ahmad,M,35.0,165.0,64.0,Pakistan,2012,London,Hockey,Hockey Men's Hockey,
Elaheh Ahmadi,F,30.0,160.0,62.0,Iran,2012,London,Shooting,"Shooting Women's Air Rifle, 10 metres",
Elaheh Ahmadi,F,30.0,160.0,62.0,Iran,2012,London,Shooting,"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",
Azneem Ahmed,M,23.0,169.0,65.0,Maldives,2012,London,Athletics,Athletics Men's 100 metres,
Fareed Ahmed,M,23.0,,,Pakistan,2012,London,Hockey,Hockey Men's Hockey,
Mohammed Ahmed,M,21.0,182.0,56.0,Canada,2012,London,Athletics,"Athletics Men's 10,000 metres",
Shehabeldin Ahmed Saad Ahmed Saad,M,21.0,174.0,73.0,Egypt,2012,London,Football,Football Men's Football,
Odile Ahouanwanou,F,21.0,178.0,71.0,Benin,2012,London,Athletics,Athletics Women's 100 metres Hurdles,
Murielle Ahour,F,24.0,165.0,58.0,Cote d'Ivoire,2012,London,Athletics,Athletics Women's 100 metres,
Murielle Ahour,F,24.0,165.0,58.0,Cote d'Ivoire,2012,London,Athletics,Athletics Women's 200 metres,
Gaby Diana Ahrens,F,31.0,169.0,60.0,Namibia,2012,London,Shooting,Shooting Women's Trap,
Mohammad Ahsan,M,24.0,173.0,72.0,Indonesia,2012,London,Badminton,Badminton Men's Doubles,
Johannes Ahun,M,24.0,187.0,76.0,Estonia,2012,London,Sailing,Sailing Men's Windsurfer,
Michelle-Lee Raquel Ahye,F,20.0,160.0,64.0,Trinidad and Tobago,2012,London,Athletics,Athletics Women's 100 metres,
Michelle-Lee Raquel Ahye,F,20.0,160.0,64.0,Trinidad and Tobago,2012,London,Athletics,Athletics Women's 4 x 100 metres Relay,
Matteo Aicardi,M,26.0,192.0,102.0,Italy,2012,London,Water Polo,Water Polo Men's Water Polo,Silver
Neringa Aidietyt,F,29.0,177.0,60.0,Lithuania,2012,London,Athletics,Athletics Women's 20 kilometres Walk,
Hannes Aigner,M,23.0,183.0,75.0,Germany,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
"Charles Benedict ""Ben"" Ainslie",M,35.0,183.0,90.0,Great Britain,2012,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
Tassadit Assou,F,23.0,184.0,80.0,Algeria,2012,London,Volleyball,Volleyball Women's Volleyball,
Zied Ait Ouagram,M,23.0,191.0,75.0,Tunisia,2012,London,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",
Souad At Salem (-Mahour-Bacha),F,33.0,158.0,50.0,Algeria,2012,London,Athletics,Athletics Women's Marathon,
Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,2012,London,Shooting,"Shooting Men's Air Rifle, 10 metres",
Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",
Artur Surenovych Aivazian,M,39.0,177.0,88.0,Ukraine,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",
Muideen Akanji,M,20.0,,75.0,Nigeria,2012,London,Boxing,Boxing Men's Middleweight,
Tolga Aslan Akcayli,M,19.0,,,Saint Vincent and the Grenadines,2012,London,Swimming,Swimming Men's 50 metres Freestyle,
Tark Langat Akda,M,24.0,176.0,60.0,Turkey,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Ahmet Akdilek,M,24.0,178.0,67.0,Turkey,2012,London,Cycling,"Cycling Men's Road Race, Individual",
Ahmet Akdilek,M,24.0,178.0,67.0,Turkey,2012,London,Cycling,Cycling Men's Individual Time Trial,
Taha Akgl,M,21.0,192.0,125.0,Turkey,2012,London,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",
Giorgos Akhilleos,M,31.0,172.0,75.0,Cyprus,2012,London,Shooting,Shooting Men's Skeet,
Habibollah Jomeh Akhlaghi,M,26.0,175.0,90.0,Iran,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",
Artur Kamilevich Akhmatkhuzin,M,24.0,187.0,79.0,Russia,2012,London,Fencing,"Fencing Men's Foil, Individual",
Artur Kamilevich Akhmatkhuzin,M,24.0,187.0,79.0,Russia,2012,London,Fencing,"Fencing Men's Foil, Team",
Foluke Antinuke Akinradewo,F,24.0,191.0,79.0,United States,2012,London,Volleyball,Volleyball Women's Volleyball,Silver
Jonathan Akinyemi,M,23.0,188.0,85.0,Nigeria,2012,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",
Malika Al-Akkaoui,F,24.0,160.0,49.0,Morocco,2012,London,Athletics,Athletics Women's 800 metres,
Youssef Akrout,M,21.0,180.0,78.0,Tunisia,2012,London,Sailing,Sailing Men's One Person Dinghy,
Chie Akutsu,F,27.0,155.0,51.0,Japan,2012,London,Hockey,Hockey Women's Hockey,
Noah Akwu,M,21.0,160.0,74.0,Nigeria,2012,London,Athletics,Athletics Men's 200 metres,
Ali Ahmed Al-Amri,M,27.0,155.0,51.0,Saudi Arabia,2012,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",
Dhaher Al-Aryani,M,39.0,182.0,73.0,United Arab Emirates,2012,London,Shooting,Shooting Men's Trap,
Yousef Al-Askari,M,18.0,175.0,65.0,Kuwait,2012,London,Swimming,Swimming Men's 200 metres Butterfly,
Rashid Salih Hamad Al-Athba,M,31.0,175.0,90.0,Qatar,2012,London,Shooting,Shooting Men's Trap,
Rashid Salih Hamad Al-Athba,M,31.0,175.0,90.0,Qatar,2012,London,Shooting,Shooting Men's Double Trap,
Nasser Salih Nasser Abdullah Al-Attiya,M,41.0,178.0,82.0,Qatar,2012,London,Shooting,Shooting Men's Skeet,Bronze
Mohamed Mutlaq Khalaf Al-Azemi,M,30.0,178.0,64.0,Kuwait,2012,London,Athletics,Athletics Men's 800 metres,
Mohanad Ahmed Dheyaa Al-Azzawi,M,15.0,173.0,65.0,Iraq,2012,London,Swimming,Swimming Men's 100 metres Butterfly,
Mubarak Muhammad Salem Al-Besher,M,24.0,,,United Arab Emirates,2012,London,Swimming,Swimming Men's 100 metres Breaststroke,
