Name,Sex,Age,Height,Weight,Year,Season,City,Sport,Medal
Mouma Das,F,20.0,149.0,47.0,2004,Summer,Athina,Table Tennis,
Mouma Das,F,32.0,149.0,47.0,2016,Summer,Rio de Janeiro,Table Tennis,
Niranjan Das,M,25.547694753577108,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Wrestling,
Robi Das,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Football,
Amala Dass,M,25.547694753577108,166.0,51.0,1980,Summer,Moskva,Boxing,
Janini Dass,M,25.547694753577108,171.63860830527497,67.75776754890678,1948,Summer,London,Water Polo,
Sadashir V. Datar,M,25.547694753577108,171.63860830527497,67.75776754890678,1920,Summer,Antwerpen,Athletics,
Baban Dharamji Daware,M,25.547694753577108,171.63860830527497,67.75776754890678,1956,Summer,Melbourne,Wrestling,
Walter Louis Joseph de Sousa,M,27.0,171.63860830527497,67.75776754890678,1948,Summer,London,Hockey,Gold
Chinadorai Deshmutu,M,19.0,171.63860830527497,67.75776754890678,1952,Summer,Helsinki,Hockey,Gold
Deepali Deshpande,F,35.0,159.0,54.0,2004,Summer,Athina,Shooting,
Gul Mustafa Dev,M,24.0,171.63860830527497,67.75776754890678,1988,Winter,Calgary,Alpine Skiing,
Laishram Bombayla Devi,F,23.0,164.0,60.0,2008,Summer,Beijing,Archery,
Laishram Bombayla Devi,F,23.0,164.0,60.0,2008,Summer,Beijing,Archery,
Laishram Bombayla Devi,F,27.0,164.0,60.0,2012,Summer,London,Archery,
Laishram Bombayla Devi,F,27.0,164.0,60.0,2012,Summer,London,Archery,
Laishram Bombayla Devi,F,31.0,164.0,60.0,2016,Summer,Rio de Janeiro,Archery,
Laishram Bombayla Devi,F,31.0,164.0,60.0,2016,Summer,Rio de Janeiro,Archery,
Khumujam Tombi Devi,F,26.0,154.0,48.0,2008,Summer,Beijing,Judo,
Lourembam Brojeshori Devi,F,19.0,157.0,52.0,2000,Summer,Sydney,Judo,
Somdev Kishore Devvarman,M,27.0,180.0,73.0,2012,Summer,London,Tennis,
Saraswati Amit Dey-Saha,F,20.0,154.0,53.0,2000,Summer,Sydney,Athletics,
